,FORMA_INGRESSO,ALUNOS
0,AE - Aluno Especial - Disciplina Isolada,2
1,AE - Mobilidade Acadêmica IAE/IESCE,2
2,AE - Mobilidade Adadêmica Externa - ANDIFES,1
3,DJ - Decisão Judicial,1
4,EO -Transferência Ex-Ofício,3
5,PD - Portador de Diploma de Nível Superior,4
6,Pessoas com Deficiência,1
7,SISU Ampla Concorrencia,353
8,SISU Escola Publica - Indep. de Renda,78
9,"SISU Escola Publica até 1,5 S.M.",63
10,"SISU Escola Publica até 1,5 S.M. Preto, Pardo, Indígena",34
11,"SISU Escola Publica, Indep de Renda: Preto, Pardo, Indígena",35
12,"SISU Escola Pública até 1,5 S.M Preto e Pardo",37
13,"SISU Escola Pública até 1,5 S.M Índio",5
14,"SISU Escola Pública, Indep. de Renda : Preto e Pardo",40
15,"SISU Escola Pública, Indep. de Renda : Índio",4
16,TE - Transferência Externa - oriunda de outra instituição,10
