,ANO_EVASAO,FORMA_EVASAO,ALUNOS
0,2003.0,Evasão,5
1,2004.0,Evasão,2
2,2005.0,Concluído,2
3,2005.0,Evasão,12
4,2006.0,Concluído,3
5,2006.0,Evasão,11
6,2007.0,Concluído,3
7,2007.0,Evasão,2
8,2008.0,Concluído,1
9,2008.0,Evasão,9
10,2009.0,Concluído,22
11,2009.0,Evasão,18
12,2010.0,Concluído,22
13,2010.0,Evasão,13
14,2011.0,Concluído,22
15,2011.0,Evasão,72
16,2012.0,Concluído,13
17,2012.0,Evasão,33
18,2013.0,Concluído,28
19,2013.0,Evasão,62
20,2014.0,Concluído,40
21,2014.0,Evasão,40
22,2015.0,Concluído,40
23,2015.0,Evasão,32
24,2016.0,Concluído,25
25,2016.0,Evasão,51
26,2017.0,Concluído,48
27,2017.0,Evasão,40
28,2018.0,Concluído,26
29,2018.0,Evasão,44
30,2019.0,Concluído,29
31,2019.0,Evasão,42
32,2020.0,Concluído,11
33,2020.0,Evasão,12
34,2021.0,Evasão,7
35,2023.0,Cursando,418
