SEXO,DT_NASCIMENTO,NACIONALIDADE_ITEM,NACIONALIDADE,CIDADE_NATURAL,ESTADO_CIVIL,CRA,BAIRRO,CIDADE,ESTADO,FORMA_INGRESSO,FORMA_EVASAO,NUM_VERSAO,PERIODO_INGRESSO,DT_EVASAO,PERIODO_EVASAO,PERIODO_EVASAO_FORMATADO,ANO_PERIODO_EVASAO,PERIODO_INGRESSO_FORMATADO,ANO_PERIODO_INGRESSO,ZONA,IDADE_INGRESSO,IDADE_EVASAO,FORMA_INGRESSO_SIMPLES,FORMA_EVASAO_DETALHADA,STATUS_EVASAO,CRA_ARREDONDADO,TEMPO_CURSO,DISTANCIA_URCA
M,1980-01-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),6.2011,flamengo,rio de janeiro,Rio de Janeiro,SISU Escola Publica - Indep. de Renda,CON - Curso concluído,2008/1,1.0,2022-02-26,1.0,2022.1,2022.0,2014.1,2014.0,Zona Sul,34.0,42.0,Cotas,CON - Curso concluído,Concluído,6.0,8.0,2.33
M,2005-02-01,1,Brasileira,NOVA IGUAÇU,,0.0,recreio dos bandeirantes,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2023/2,2.0,,,,,2023.2,2023.0,Zona Oeste,18.0,,Ampla Concorrencia,Sem evasão,Cursando,0.0,,31.12
M,1988-03-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),4.7096,copacabana,rio de janeiro,Rio de Janeiro,VE - Vestibular,CON - Curso concluído,2005/2,2.0,2016-04-04,1.0,2016.1,2016.0,2006.2,2006.0,Zona Sul,18.0,27.0,Ampla Concorrencia,CON - Curso concluído,Concluído,4.5,9.5,2.59
M,1991-03-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),2.6109,copacabana,rio de janeiro,Rio de Janeiro,VE - Vestibular,JUB - Jubilamento,2008/1,1.0,2013-08-28,1.0,2013.1,2013.0,2009.1,2009.0,Zona Sul,17.0,21.0,Ampla Concorrencia,JUB - Jubilamento,Evasão,2.5,4.0,2.59
M,1985-04-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.5839,ipanema,rio de janeiro,Rio de Janeiro,EN - ENEM,CON - Curso concluído,2008/1,2.0,2016-02-23,1.0,2016.1,2016.0,2010.2,2010.0,Zona Sul,25.0,30.0,Ampla Concorrencia,CON - Curso concluído,Concluído,7.5,5.5,4.83
M,1986-04-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.7928,vila isabel,rio de janeiro,Rio de Janeiro,VE - Vestibular,CON - Curso concluído,2008/1,2.0,2010-12-21,2.0,2010.2,2010.0,2006.2,2006.0,Zona Norte,20.0,24.0,Ampla Concorrencia,CON - Curso concluído,Concluído,8.0,4.0,9.45
F,1993-04-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.5904,tijuca,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,CON - Curso concluído,2008/1,1.0,2019-09-04,1.0,2019.1,2019.0,2013.1,2013.0,Zona Norte,19.0,25.0,Ampla Concorrencia,CON - Curso concluído,Concluído,7.5,6.0,7.39
M,1990-05-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.285,pilares,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,ABA - Abandono do curso,2008/1,2.0,2023-07-21,1.0,2023.1,2023.0,2017.2,2017.0,Zona Norte,27.0,32.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,8.5,5.5,15.5
M,1992-05-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),6.4751,meier,rio de janeiro,Rio de Janeiro,EN - ENEM,CON - Curso concluído,2008/1,1.0,2015-03-17,1.0,2015.1,2015.0,2011.1,2011.0,Zona Norte,18.0,22.0,Ampla Concorrencia,CON - Curso concluído,Concluído,6.5,4.0,12.84
M,1993-05-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.435,brás de pina,rio de janeiro,Rio de Janeiro,EN - ENEM,CON - Curso concluído,2008/1,1.0,2017-02-13,1.0,2017.1,2017.0,2011.1,2011.0,Zona Norte,17.0,23.0,Ampla Concorrencia,CON - Curso concluído,Concluído,8.5,6.0,18.98
