,FORMA_INGRESSO,ALUNOS
0,AE - Aluno Especial - Disciplina Isolada,3
1,AE - Mobilidade Acadêmica IAE/IESCE,3
2,AE - Mobilidade Adadêmica Externa - ANDIFES,2
3,DJ - Decisão Judicial,1
4,EN - ENEM,248
5,EO -Transferência Ex-Ofício,4
6,PD - Portador de Diploma de Nível Superior,11
7,PG - Programa de Estudantes - Convênio (PEC-G),2
8,Pessoas com Deficiência,1
9,SISU Ampla Concorrencia,353
10,SISU Escola Publica - Indep. de Renda,78
11,"SISU Escola Publica até 1,5 S.M.",63
12,"SISU Escola Publica até 1,5 S.M. Preto, Pardo, Indígena",34
13,"SISU Escola Publica, Indep de Renda: Preto, Pardo, Indígena",35
14,"SISU Escola Pública até 1,5 S.M Preto e Pardo",37
15,"SISU Escola Pública até 1,5 S.M Índio",5
16,"SISU Escola Pública, Indep. de Renda : Preto e Pardo",40
17,"SISU Escola Pública, Indep. de Renda : Índio",4
18,TC - Transferência Interna-Curso não relacionado ao anterior,1
19,TE - Transferência Externa - oriunda de outra instituição,12
20,VE - Vestibular,323
