,FORMA_INGRESSO,ALUNOS
0,EN - ENEM,248
1,Outros,40
2,SISU Ampla Concorrencia,353
3,SISU Escola Publica - Indep. de Renda,78
4,"SISU Escola Publica até 1,5 S.M.",63
5,"SISU Escola Publica até 1,5 S.M. Preto, Pardo, Indígena",34
6,"SISU Escola Publica, Indep de Renda: Preto, Pardo, Indígena",35
7,"SISU Escola Pública até 1,5 S.M Preto e Pardo",37
8,"SISU Escola Pública até 1,5 S.M Índio",5
9,"SISU Escola Pública, Indep. de Renda : Preto e Pardo",40
10,"SISU Escola Pública, Indep. de Renda : Índio",4
11,VE - Vestibular,323
